wcet duration mem_req mem_active_ratio m k 
15 312 13 0.123200 2 16 
29 4103 13 0.053500 9 12 
20 2782 12 0.144500 15 19 
13 2076 13 0.031900 10 11 
22 2058 9 0.080500 8 13 
16 1119 6 0.117900 6 18 
19 2244 15 0.156900 9 20 
17 1045 9 0.045100 4 10 
28 4400 13 0.120300 12 17 
13 855 14 0.113600 6 16 
14 1702 14 0.094800 13 19 
26 4779 11 0.141400 11 14 
16 2223 8 0.042400 8 13 
22 737 11 0.079500 2 13 
22 3607 13 0.184900 11 12 
22 1105 9 0.095800 3 10 
30 2751 11 0.097700 6 17 
23 2299 7 0.059700 8 17 
16 2649 6 0.102700 9 13 
21 1962 13 0.059500 6 10 
24 2053 10 0.127200 12 18 
13 282 7 0.133500 2 17 
18 1053 10 0.081000 7 19 
19 523 13 0.055500 2 10 
29 6450 11 0.148300 17 18 
26 4755 9 0.073300 14 16 
13 1760 13 0.112100 10 18 
19 2172 7 0.064000 6 12 
27 2629 8 0.121600 8 15 
12 643 8 0.066900 3 12 
27 2524 11 0.092300 7 10 
29 1320 11 0.116500 8 19 
19 3187 6 0.093400 17 17 
25 663 8 0.032300 1 10 
25 3997 11 0.179700 10 12 
23 1032 11 0.083200 3 12 
22 1688 8 0.082000 6 14 
24 2128 11 0.115100 8 18 
15 1620 8 0.085300 6 11 
26 1130 13 0.082300 4 20 
28 2581 8 0.108900 6 14 
24 1281 9 0.101700 5 18 
20 1568 6 0.160900 6 14 
15 3472 8 0.068000 10 11 
21 566 8 0.090100 3 13 
22 2530 8 0.151200 5 11 
18 2939 5 0.077100 12 18 
26 3079 12 0.137600 9 16 
15 908 12 0.132100 3 10 
26 1940 10 0.081300 7 19 
25 464 15 0.052000 2 14 
15 664 12 0.057700 4 17 
26 2923 9 0.131600 6 10 
11 1780 12 0.143100 11 11 
18 2132 11 0.021500 9 14 
19 1750 8 0.112600 6 15 
22 2597 5 0.058100 8 12 
22 4105 10 0.075200 13 15 
11 268 11 0.032000 2 11 
15 1049 8 0.076700 5 12 
23 2187 10 0.158800 10 17 
27 5353 7 0.002300 15 18 
21 3289 13 0.059400 8 14 
17 1402 11 0.098600 9 15 
13 331 6 0.101800 1 10 
23 829 9 0.150100 2 12 
24 487 10 0.142200 1 10 
12 1228 10 0.088300 10 20 
25 4302 11 0.139400 16 16 
15 1647 6 0.100800 18 20 
28 270 10 0.101000 1 18 
27 5287 9 0.018000 17 19 
28 4339 9 0.067900 7 10 
21 1368 7 0.108500 4 13 
25 1173 10 0.065900 4 17 
13 1436 10 0.109200 10 12 
16 2236 13 0.193300 10 13 
19 279 13 0.127600 2 16 
28 4416 10 0.115900 14 16 
18 1373 13 0.059300 7 14 
16 132 8 0.095000 1 16 
28 1696 9 0.031200 5 13 
23 1698 14 0.071400 7 14 
10 694 10 0.110600 4 10 
27 4537 13 0.148100 7 10 
19 2761 8 0.019300 11 14 
13 1781 12 0.017700 9 12 
15 272 8 0.125300 2 14 
22 980 11 0.119900 3 14 
10 2213 10 0.075900 9 10 
20 3374 9 0.120400 11 12 
26 3739 8 0.040000 18 18 
12 3252 12 0.131600 16 16 
17 140 9 0.123800 1 16 
16 1473 10 0.099200 6 11 
21 4268 9 0.099600 8 10 
23 2898 8 0.038400 8 12 
25 1501 8 0.009900 3 11 
13 384 10 0.140500 2 15 
12 1039 10 0.123400 7 17 
